epoch,loss,recall@10
1,0.4654382938719065,0.12285117705102902
2,0.3133385806097149,0.029474473042670687
3,0.3132906835631462,0.02906479585067745
4,0.3132791096544535,0.03189582676882424
5,0.3132733946802926,0.03656967086242446
6,0.31327011053171533,0.04139009353388945
7,0.31326802706314344,0.0418406261574266
8,0.3132666162515091,0.04867298448841056
9,0.3132656038144214,0.05480639535205119
10,0.3132648653229751,0.0620117214492225
11,0.3132643081710837,0.06771489784241864
12,0.31326388521383036,0.06708643247262257
13,0.31326355486266355,0.07799353706805531
14,0.31326329253487667,0.08635153913553016
15,0.31326307785713065,0.09101095858416663
16,0.31326291621741603,0.10314389887615602
17,0.3132627732672934,0.10901740700509123
18,0.3132626389042806,0.1110410896808681
19,0.3132625373743348,0.1258467352968816
20,0.3132624626159668,0.13048507921634958
21,0.3132623976233315,0.13439683563022048
22,0.31326233364094447,0.1411606984914067
23,0.31326226326031875,0.15285044804502007
24,0.3132621996146811,0.16058758575321871
25,0.3132621443877786,0.15646852905244418
26,0.31326209943173294,0.17885481793506805
27,0.31326205632780907,0.17487257942364995
28,0.3132620310716036,0.1791681695937468
29,0.3132620044684006,0.1654106169532939
30,0.3132619866206821,0.17686957218748794
